Ativo;Data;Abertura;Máximo;Mínimo;Fechamento;Volume;Quantidade
WDOFUT;28/12/2023;5.540,599;5.599,005;5.537,736;5.574,383;130.977.785.116,04;2.351.749
WDOFUT;27/12/2023;5.529,646;5.559,549;5.518,720;5.546,898;111.114.310.059,46;2.003.370
WDOFUT;26/12/2023;5.575,650;5.587,151;5.530,796;5.530,796;104.843.832.367,08;1.886.979
WDOFUT;22/12/2023;5.602,677;5.611,303;5.573,925;5.587,151;119.565.739.327,15;2.138.814
WDOFUT;21/12/2023;5.621,079;5.634,305;5.593,476;5.619,353;143.491.007.642,13;2.555.562
WDOFUT;20/12/2023;5.600,952;5.655,006;5.583,701;5.652,706;134.614.893.143,72;2.397.864
WDOFUT;19/12/2023;5.623,379;5.630,854;5.577,375;5.596,352;150.736.528.792,92;2.693.781
WDOFUT;18/12/2023;5.680,883;5.696,410;5.625,679;5.632,004;132.381.713.951,37;2.334.713
WDOFUT;15/12/2023;5.650,406;5.697,560;5.642,930;5.681,458;157.520.723.118,95;2.773.234
WDOFUT;14/12/2023;5.618,203;5.660,757;5.613,028;5.656,731;173.802.960.353,46;3.084.797
WDOFUT;13/12/2023;5.713,086;5.728,612;5.656,156;5.659,032;188.420.109.938,56;3.305.844
WDOFUT;12/12/2023;5.673,983;5.725,737;5.667,657;5.714,236;149.721.262.299,76;2.627.566
WDOFUT;11/12/2023;5.684,334;5.711,936;5.677,433;5.687,209;111.698.523.097,11;1.961.445
WDOFUT;08/12/2023;5.642,355;5.687,209;5.641,205;5.679,158;138.256.910.513,41;2.439.909
WDOFUT;07/12/2023;5.643,505;5.664,207;5.623,954;5.661,907;137.625.393.066,68;2.436.991
WDOFUT;06/12/2023;5.669,957;5.672,258;5.632,579;5.649,256;129.153.269.431,84;2.285.689
WDOFUT;05/12/2023;5.709,061;5.726,312;5.674,558;5.682,608;169.316.544.039,96;2.968.340
WDOFUT;04/12/2023;5.643,505;5.711,361;5.638,330;5.698,710;134.952.288.137,24;2.377.794
WDOFUT;01/12/2023;5.664,782;5.692,959;5.614,178;5.628,554;166.506.753.267,76;2.945.138
WDOFUT;30/11/2023;5.669,382;5.704,460;5.668,232;5.685,484;177.401.542.680,50;3.119.518
WDOFUT;29/11/2023;5.619,266;5.657,312;5.608,314;5.655,006;158.656.758.313,08;2.814.810
WDOFUT;28/11/2023;5.647,512;5.660,194;5.601,396;5.616,960;178.432.488.200,05;3.169.873
WDOFUT;27/11/2023;5.651,548;5.675,759;5.618,113;5.647,512;156.539.487.995,12;2.771.596
WDOFUT;24/11/2023;5.653,277;5.659,041;5.631,948;5.648,665;109.334.749.357,82;1.936.289
WDOFUT;23/11/2023;5.653,853;5.664,230;5.638,289;5.660,771;73.833.859.913,42;1.306.910
WDOFUT;22/11/2023;5.654,430;5.676,911;5.627,913;5.661,347;163.198.863.999,81;2.889.447
WDOFUT;21/11/2023;5.599,090;5.662,500;5.588,714;5.653,277;148.004.190.715,96;2.627.248
WDOFUT;20/11/2023;5.650,395;5.661,924;5.593,326;5.597,361;122.239.161.825,94;2.175.044
WDOFUT;17/11/2023;5.605,431;5.670,570;5.600,820;5.663,077;159.733.984.841,21;2.831.052
WDOFUT;16/11/2023;5.616,384;5.643,477;5.585,832;5.615,231;153.399.472.897,36;2.733.629
WDOFUT;14/11/2023;5.658,465;5.667,688;5.599,090;5.621,572;155.967.982.744,58;2.774.576
WDOFUT;13/11/2023;5.672,300;5.709,769;5.667,112;5.669,418;126.783.303.170,81;2.230.199
WDOFUT;10/11/2023;5.701,123;5.725,334;5.663,077;5.664,230;131.852.978.133,63;2.318.679
WDOFUT;09/11/2023;5.674,029;5.717,840;5.654,430;5.703,428;161.828.876.397,12;2.849.545
WDOFUT;08/11/2023;5.649,818;5.683,252;5.629,642;5.675,182;149.737.940.948,16;2.647.776
WDOFUT;07/11/2023;5.671,147;5.675,759;5.616,384;5.631,948;162.413.385.204,84;2.884.209
WDOFUT;06/11/2023;5.659,618;5.679,794;5.644,054;5.649,818;131.972.514.958,61;2.330.280
WDOFUT;03/11/2023;5.708,616;5.708,616;5.640,018;5.669,994;157.971.446.713,06;2.789.263
WDOFUT;01/11/2023;5.826,789;5.838,318;5.729,369;5.731,098;216.863.852.359,53;3.743.802
WDOFUT;31/10/2023;5.816,413;5.867,141;5.796,237;5.827,366;197.687.562.848,72;3.386.187
WDOFUT;30/10/2023;5.775,303;5.851,035;5.749,866;5.838,895;216.494.762.744,47;3.732.268
WDOFUT;27/10/2023;5.769,522;5.805,943;5.703,039;5.802,474;231.601.466.372,90;4.030.488
WDOFUT;26/10/2023;5.787,443;5.807,099;5.769,522;5.769,522;191.225.015.462,98;3.305.164
WDOFUT;25/10/2023;5.783,396;5.807,677;5.769,522;5.778,772;176.615.106.177,57;3.053.255
WDOFUT;24/10/2023;5.805,365;5.822,130;5.774,147;5.779,350;197.847.322.878,63;3.415.488
WDOFUT;23/10/2023;5.844,676;5.851,035;5.783,396;5.805,365;199.235.088.770,44;3.428.708
WDOFUT;20/10/2023;5.857,972;5.904,799;5.819,239;5.827,333;195.167.124.239,85;3.335.298
WDOFUT;19/10/2023;5.881,675;5.889,190;5.814,614;5.868,378;228.130.284.270,60;3.900.427
WDOFUT;18/10/2023;5.856,238;5.879,362;5.825,020;5.862,019;191.012.636.942,19;3.264.210
WDOFUT;17/10/2023;5.850,457;5.869,535;5.804,208;5.841,785;201.708.271.040,39;3.455.006
WDOFUT;16/10/2023;5.857,394;5.878,206;5.832,536;5.841,207;143.617.845.781,17;2.451.315
WDOFUT;13/10/2023;5.874,159;5.915,205;5.848,723;5.888,612;167.219.436.624,90;2.844.897
WDOFUT;11/10/2023;5.848,145;5.881,097;5.831,379;5.854,504;194.748.522.694,18;3.325.354
WDOFUT;10/10/2023;5.960,298;5.962,610;5.853,926;5.863,175;203.396.544.384,41;3.449.094
