Ativo;Data;Abertura;Máximo;Mínimo;Fechamento;Volume;Quantidade
WDOFUT;27/12/2021;5.670,500;5.742,500;5.586,500;5.611,000;463.430.788.645,00;8.199.424
WDOFUT;20/12/2021;5.724,500;5.768,000;5.635,500;5.671,000;555.278.937.290,00;9.710.576
WDOFUT;13/12/2021;5.629,000;5.755,500;5.624,500;5.709,000;830.248.266.800,00;14.574.418
WDOFUT;06/12/2021;5.676,000;5.734,000;5.545,000;5.638,500;807.005.519.110,00;14.312.717
WDOFUT;29/11/2021;5.600,000;5.733,000;5.581,000;5.685,500;852.471.126.110,00;15.060.950
WDOFUT;22/11/2021;5.611,500;5.670,000;5.552,500;5.614,000;763.687.055.155,00;13.623.777
WDOFUT;16/11/2021;5.460,500;5.624,500;5.444,500;5.624,000;628.326.334.410,00;11.351.502
WDOFUT;08/11/2021;5.581,500;5.621,000;5.406,000;5.477,000;822.074.690.210,00;14.964.579
WDOFUT;01/11/2021;5.658,500;5.728,000;5.527,500;5.565,500;681.180.612.870,00;12.077.165
WDOFUT;25/10/2021;5.661,000;5.695,500;5.539,500;5.665,000;974.604.618.465,00;17.386.566
WDOFUT;18/10/2021;5.480,000;5.762,000;5.476,500;5.657,500;1.093.878.881.210,00;19.488.933
WDOFUT;11/10/2021;5.517,000;5.589,000;5.447,000;5.475,000;688.757.622.750,00;12.478.447
WDOFUT;04/10/2021;5.408,500;5.558,000;5.395,500;5.529,500;871.022.331.715,00;15.826.477
WDOFUT;27/09/2021;5.326,000;5.500,000;5.311,500;5.387,000;948.204.905.170,00;17.507.717
WDOFUT;20/09/2021;5.331,000;5.387,500;5.257,500;5.343,000;794.572.429.390,00;14.943.191
WDOFUT;13/09/2021;5.253,000;5.358,000;5.212,500;5.297,500;839.301.771.900,00;15.931.574
WDOFUT;06/09/2021;5.207,500;5.351,500;5.173,000;5.268,000;721.915.315.675,00;13.702.482
WDOFUT;30/08/2021;5.200,000;5.227,500;5.138,000;5.217,000;838.984.048.905,00;16.167.865
WDOFUT;23/08/2021;5.372,000;5.408,500;5.189,000;5.206,000;871.086.972.415,00;16.495.616
WDOFUT;16/08/2021;5.286,000;5.483,000;5.240,000;5.383,500;1.039.850.385.965,00;19.444.799
WDOFUT;09/08/2021;5.245,000;5.315,000;5.178,000;5.262,000;972.748.444.925,00;18.535.970
WDOFUT;02/08/2021;5.210,000;5.294,000;5.128,500;5.248,500;1.003.940.167.630,00;19.248.713
WDOFUT;26/07/2021;5.195,000;5.249,500;5.041,500;5.234,000;853.610.056.515,00;16.569.703
WDOFUT;19/07/2021;5.165,000;5.301,500;5.159,000;5.205,000;935.993.026.810,00;17.925.941
WDOFUT;12/07/2021;5.266,500;5.296,500;5.062,000;5.123,000;928.251.276.850,00;18.028.800
WDOFUT;05/07/2021;5.070,000;5.327,000;5.062,500;5.272,000;752.938.850.200,00;14.443.816
WDOFUT;28/06/2021;4.951,000;5.088,500;4.919,000;5.074,500;794.429.715.260,00;15.899.682
WDOFUT;21/06/2021;5.078,500;5.087,500;4.895,500;4.936,500;865.274.889.510,00;17.397.096
WDOFUT;14/06/2021;5.115,000;5.121,000;4.988,000;5.095,500;913.951.584.905,00;18.073.266
WDOFUT;07/06/2021;5.052,000;5.149,000;5.030,000;5.129,000;801.715.521.595,00;15.806.385
WDOFUT;31/05/2021;5.243,000;5.277,000;5.044,500;5.060,000;663.440.379.550,00;12.888.464
WDOFUT;24/05/2021;5.365,000;5.378,500;5.210,000;5.227,000;743.150.529.310,00;14.037.264
WDOFUT;17/05/2021;5.295,000;5.375,500;5.237,000;5.367,500;818.912.674.425,00;15.475.928
WDOFUT;10/05/2021;5.248,500;5.341,000;5.206,500;5.280,000;948.476.836.570,00;18.015.214
WDOFUT;03/05/2021;5.428,000;5.496,500;5.214,000;5.249,500;940.537.366.065,00;17.524.194
WDOFUT;26/04/2021;5.458,000;5.492,000;5.325,500;5.452,500;927.807.122.670,00;17.133.564
WDOFUT;19/04/2021;5.575,500;5.626,000;5.427,000;5.477,500;802.134.322.320,00;14.526.732
WDOFUT;12/04/2021;5.684,000;5.763,000;5.571,000;5.591,500;962.249.266.375,00;16.966.075
WDOFUT;05/04/2021;5.678,500;5.697,000;5.546,000;5.697,000;855.898.631.415,00;15.209.269
WDOFUT;29/03/2021;5.767,000;5.806,500;5.616,500;5.718,500;705.111.175.135,00;12.303.791
WDOFUT;22/03/2021;5.510,000;5.759,000;5.467,000;5.757,000;937.109.888.900,00;16.764.477
WDOFUT;15/03/2021;5.560,000;5.686,000;5.451,500;5.492,000;949.426.494.180,00;17.018.412
WDOFUT;08/03/2021;5.740,000;5.882,500;5.532,000;5.556,500;980.106.855.620,00;17.180.582
WDOFUT;01/03/2021;5.593,000;5.779,500;5.550,000;5.697,000;1.015.530.327.345,00;17.926.767
WDOFUT;22/02/2021;5.510,000;5.627,500;5.391,000;5.610,000;1.014.660.378.890,00;18.518.216
WDOFUT;17/02/2021;5.429,000;5.472,000;5.370,000;5.383,000;454.242.906.105,00;8.389.132
WDOFUT;08/02/2021;5.400,000;5.450,500;5.308,000;5.373,000;954.070.035.780,00;17.714.083
WDOFUT;01/02/2021;5.437,500;5.489,000;5.323,500;5.375,000;927.115.453.960,00;17.173.907
WDOFUT;26/01/2021;5.471,000;5.509,000;5.313,500;5.465,500;840.580.314.700,00;15.520.577
WDOFUT;18/01/2021;5.313,500;5.489,000;5.232,500;5.469,500;888.063.242.930,00;16.647.325
WDOFUT;11/01/2021;5.457,000;5.520,000;5.194,000;5.294,500;1.000.439.604.060,00;18.692.977
WDOFUT;04/01/2021;5.131,000;5.444,500;5.122,000;5.422,500;1.066.819.734.780,00;20.074.642
WDOFUT;28/12/2020;5.180,000;5.311,000;5.153,500;5.202,500;474.103.365.860,00;9.091.408
WDOFUT;21/12/2020;5.203,000;5.224,500;5.109,000;5.220,000;455.505.274.320,00;8.824.550
WDOFUT;14/12/2020;5.039,000;5.143,000;5.010,500;5.102,000;782.955.878.035,00;15.387.605
WDOFUT;07/12/2020;5.170,000;5.198,000;5.016,000;5.070,500;926.679.769.150,00;18.180.843
WDOFUT;30/11/2020;5.301,000;5.398,000;5.116,500;5.159,000;889.391.518.250,00;17.002.357
